t,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,qw,qx,qy,qz
0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,10.000000,0.000007,0.000000,0.000000,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.002000,0.000000,0.000000,10.000000,0.000030,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.003000,0.000000,0.000000,10.000000,0.000068,0.000000,0.000000,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.004000,0.000000,0.000000,10.000000,0.000120,0.000000,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.005000,0.000000,0.000000,10.000000,0.000188,0.000000,0.000000,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.006000,0.000001,0.000000,10.000000,0.000270,0.000000,0.000000,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.007000,0.000001,0.000000,10.000000,0.000368,0.000000,0.000000,0.105000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.008000,0.000001,0.000000,10.000000,0.000480,0.000000,0.000000,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.009000,0.000002,0.000000,10.000000,0.000608,0.000000,0.000000,0.135000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.010000,0.000003,0.000000,10.000000,0.000750,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.011000,0.000003,0.000000,10.000000,0.000907,0.000000,0.000000,0.165000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.012000,0.000004,0.000000,10.000000,0.001080,0.000000,0.000000,0.180000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.013000,0.000005,0.000000,10.000000,0.001268,0.000000,0.000000,0.195000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.014000,0.000007,0.000000,10.000000,0.001470,0.000000,0.000000,0.210000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.015000,0.000008,0.000000,10.000000,0.001687,0.000000,0.000000,0.225000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.016000,0.000010,0.000000,10.000000,0.001920,0.000000,0.000000,0.240000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.017000,0.000012,0.000000,10.000000,0.002168,0.000000,0.000000,0.255000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.018000,0.000015,0.000000,10.000000,0.002430,0.000000,0.000000,0.270000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.019000,0.000017,0.000000,10.000000,0.002707,0.000000,0.000000,0.285000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.020000,0.000020,0.000000,10.000000,0.003000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.021000,0.000023,0.000000,10.000000,0.003308,0.000000,0.000000,0.315000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.022000,0.000027,0.000000,10.000000,0.003630,0.000000,0.000000,0.330000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.023000,0.000030,0.000000,10.000000,0.003967,0.000000,0.000000,0.345000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.024000,0.000035,0.000000,10.000000,0.004320,0.000000,0.000000,0.360000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.025000,0.000039,0.000000,10.000000,0.004688,0.000000,0.000000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.026000,0.000044,0.000000,10.000000,0.005070,0.000000,0.000000,0.390000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.027000,0.000049,0.000000,10.000000,0.005467,0.000000,0.000000,0.405000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
