rosbag record -o high /vis/odom_pose /vis/traj_path /vis/traj_pose /vis/odom_pose
t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz
0.3800,0.011830,0.011292,1.500000,0.087505,0.083540,0.000000,0.400072,0.382125,0.000000,0.762217,0.001098,0.928253,0.000000,0.000000,0.371950
0.3900,0.012725,0.012146,1.500000,0.091536,0.087389,0.000000,0.405917,0.387723,0.000000,0.762228,0.001107,0.928251,0.000000,0.000000,0.371955
0.4000,0.013661,0.013040,1.500000,0.095623,0.091294,0.000000,0.411543,0.393113,0.000000,0.762239,0.001116,0.928249,0.000000,0.000000,0.371960
0.4100,0.014638,0.013972,1.500000,0.099766,0.095251,0.000000,0.416952,0.398297,0.000000,0.762251,0.001126,0.928247,0.000000,0.000000,0.371965
0.4200,0.015657,0.014945,1.500000,0.103961,0.099259,0.000000,0.422147,0.403277,0.000000,0.762262,0.001135,0.928245,0.000000,0.000000,0.371971
0.4300,0.016717,0.015958,1.500000,0.108208,0.103316,0.000000,0.427129,0.408055,0.000000,0.762273,0.001145,0.928242,0.000000,0.000000,0.371976
0.4400,0.017821,0.017011,1.500000,0.112503,0.107419,0.000000,0.431900,0.412630,0.000000,0.762285,0.001155,0.928240,0.000000,0.000000,0.371981
0.4500,0.018968,0.018106,1.500000,0.116845,0.111568,0.000000,0.436461,0.417007,0.000000,0.762296,0.001165,0.928238,0.000000,0.000000,0.371987
0.4600,0.020158,0.019243,1.500000,0.121232,0.115759,0.000000,0.440814,0.421185,0.000000,0.762308,0.001175,0.928236,0.000000,0.000000,0.371992
0.4700,0.021392,0.020422,1.500000,0.125661,0.119991,0.000000,0.444960,0.425167,0.000000,0.762320,0.001185,0.928234,0.000000,0.000000,0.371997
0.4800,0.022671,0.021643,1.500000,0.130130,0.124261,0.000000,0.448902,0.428954,0.000000,0.762332,0.001195,0.928232,0.000000,0.000000,0.372003
0.4900,0.023995,0.022907,1.500000,0.134638,0.128569,0.000000,0.452641,0.432547,0.000000,0.762344,0.001206,0.928229,0.000000,0.000000,0.372009
0.5000,0.025364,0.024214,1.500000,0.139182,0.132912,0.000000,0.456178,0.435949,0.000000,0.762356,0.001216,0.928227,0.000000,0.000000,0.372014
0.5100,0.026779,0.025565,1.500000,0.143761,0.137287,0.000000,0.459516,0.439161,0.000000,0.762368,0.001227,0.928225,0.000000,0.000000,0.372020
0.5200,0.028239,0.026960,1.500000,0.148372,0.141694,0.000000,0.462656,0.442184,0.000000,0.762380,0.001238,0.928222,0.000000,0.000000,0.372026
0.5300,0.029746,0.028399,1.500000,0.153014,0.146130,0.000000,0.465599,0.445020,0.000000,0.762393,0.001249,0.928220,0.000000,0.000000,0.372031
0.5400,0.031300,0.029883,1.500000,0.157683,0.150594,0.000000,0.468348,0.447671,0.000000,0.762405,0.001260,0.928218,0.000000,0.000000,0.372037
0.5500,0.032900,0.031411,1.500000,0.162380,0.155083,0.000000,0.470903,0.450138,0.000000,0.762418,0.001271,0.928215,0.000000,0.000000,0.372043
0.5600,0.034548,0.032985,1.500000,0.167101,0.159596,0.000000,0.473267,0.452422,0.000000,0.762431,0.001283,0.928213,0.000000,0.000000,0.372049
